ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2022,"2022",6192080,22306,"United States","01000US","united-states",0.04924653731606165
1,"$10,000-$14,999",2022,"2022",4743710,20611,"United States","01000US","united-states",0.03772743432442326
2,"$15,000-$19,999",2022,"2022",4235151,17229,"United States","01000US","united-states",0.03368278862040797
3,"$20,000-$24,999",2022,"2022",4587937,18658,"United States","01000US","united-states",0.03648854838345757
4,"$25,000-$29,999",2022,"2022",4701374,19434,"United States","01000US","united-states",0.037390729791566324
5,"$30,000-$34,999",2022,"2022",4608052,17944,"United States","01000US","united-states",0.03664852598357136
6,"$35,000-$39,999",2022,"2022",4479480,17112,"United States","01000US","united-states",0.03562597365934417
7,"$40,000-$44,999",2022,"2022",4465681,17575,"United States","01000US","united-states",0.03551622815081967
8,"$45,000-$49,999",2022,"2022",4518761,18906,"United States","01000US","united-states",0.03593838132079431
9,"$50,000-$59,999",2022,"2022",8700174,23712,"United States","01000US","united-states",0.06919378359892465
10,"$60,000-$74,999",2022,"2022",11528244,30460.000000000004,"United States","01000US","united-states",0.09168584681313287
11,"$75,000-$99,999",2022,"2022",16085302,41834,"United States","01000US","united-states",0.127928809896371
12,"$100,000-$124,999",2022,"2022",12442523,43284,"United States","01000US","united-states",0.09895724429036049
13,"$125,000-$149,999",2022,"2022",9024401,41755,"United States","01000US","united-states",0.07177240936835506
14,"$150,000-$199,999",2022,"2022",11075396,50946,"United States","01000US","united-states",0.08808427901515482
15,"$200,000+",2022,"2022",14348087,70248,"United States","01000US","united-states",0.1141124794672548
0,"< $10,000",2022,"2022",230007,4718,"New York, NY","16000US3651000","new-york-ny",0.07006418902864746
1,"$10,000-$14,999",2022,"2022",182375,4095,"New York, NY","16000US3651000","new-york-ny",0.05555464170264201
2,"$15,000-$19,999",2022,"2022",120083,3568,"New York, NY","16000US3651000","new-york-ny",0.03657939980577579
3,"$20,000-$24,999",2022,"2022",123184,3479.9999999999995,"New York, NY","16000US3651000","new-york-ny",0.03752401910074436
4,"$25,000-$29,999",2022,"2022",116968,3823,"New York, NY","16000US3651000","new-york-ny",0.035630515863877346
5,"$30,000-$34,999",2022,"2022",103285,3107,"New York, NY","16000US3651000","new-york-ny",0.03146243272519468
6,"$35,000-$39,999",2022,"2022",100266,2967,"New York, NY","16000US3651000","new-york-ny",0.0305427920765297
7,"$40,000-$44,999",2022,"2022",96039,2480,"New York, NY","16000US3651000","new-york-ny",0.029255173321343583
8,"$45,000-$49,999",2022,"2022",99013,3009,"New York, NY","16000US3651000","new-york-ny",0.030161106176305377
9,"$50,000-$59,999",2022,"2022",195357,4081,"New York, NY","16000US3651000","new-york-ny",0.05950918787719279
10,"$60,000-$74,999",2022,"2022",248788,4396,"New York, NY","16000US3651000","new-york-ny",0.07578521288508239
11,"$75,000-$99,999",2022,"2022",356109,5617,"New York, NY","16000US3651000","new-york-ny",0.1084770823966341
12,"$100,000-$124,999",2022,"2022",286846,4719,"New York, NY","16000US3651000","new-york-ny",0.08737835094632515
13,"$125,000-$149,999",2022,"2022",216366,4110,"New York, NY","16000US3651000","new-york-ny",0.06590889983075444
14,"$150,000-$199,999",2022,"2022",295851,5310,"New York, NY","16000US3651000","new-york-ny",0.09012143277515197
15,"$200,000+",2022,"2022",512267,5997,"New York, NY","16000US3651000","new-york-ny",0.15604556348779886
0,"< $10,000",2021,"2021",6835028,25393,"United States","01000US","united-states",0.05511630775439648
1,"$10,000-$14,999",2021,"2021",4848344,17701,"United States","01000US","united-states",0.03909608270853926
2,"$15,000-$19,999",2021,"2021",4672903,17092,"United States","01000US","united-states",0.037681361342549374
3,"$20,000-$24,999",2021,"2021",4947418,19661,"United States","01000US","united-states",0.03989499575973072
4,"$25,000-$29,999",2021,"2021",5044233,20052,"United States","01000US","united-states",0.04067569268375823
5,"$30,000-$34,999",2021,"2021",5096729,17836,"United States","01000US","united-states",0.041099009997436355
6,"$35,000-$39,999",2021,"2021",4799326,20297,"United States","01000US","united-states",0.038700811295824485
7,"$40,000-$44,999",2021,"2021",4968184,18951,"United States","01000US","united-states",0.04006244865777705
8,"$45,000-$49,999",2021,"2021",4395258,19365,"United States","01000US","united-states",0.035442487227261274
9,"$50,000-$59,999",2021,"2021",8982113,24548,"United States","01000US","united-states",0.07242997459451014
10,"$60,000-$74,999",2021,"2021",11863218,31009.000000000004,"United States","01000US","united-states",0.09566263287370526
11,"$75,000-$99,999",2021,"2021",15895589,44008,"United States","01000US","united-states",0.12817887143423545
12,"$100,000-$124,999",2021,"2021",11904114,48316,"United States","01000US","united-states",0.09599241009216344
13,"$125,000-$149,999",2021,"2021",8333858,41998,"United States","01000US","united-states",0.06720257507495787
